FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
160201;0000;0,186365;;;
160301;0000;0,219853;;;
160401;0000;0,454077;;;
160501;0000;0,663626;;;
160601;0000;1,78851;;;
160701;0000;1,39392;;;
160801;0000;0,905593;;;
160901;0000;0,793385;;;
161001;0000;0,332328;;;
161101;0000;0,336267;;;
161201;0000;0,408343;;;
170101;0000;0,540169;;;
170201;0000;0,39133;;;
170301;0000;0,458245;;;
170401;0000;0,812384;;;
170501;0000;1,24452;;;
170601;0000;1,69133;;;
170701;0000;1,53233;;;
170801;0000;0,923;;;
170901;0000;0,8225;;;
171001;0000;0,435517;;;
171101;0000;0,322;;;
171201;0000;0,224194;;;
180101;0000;0,204194;;;
180201;0000;0,230357;;;
180301;0000;0,329032;;;
180401;0000;0,581667;;;
180501;0000;1,1231;;;
180601;0000;1,8225;;;
180701;0000;1,44581;;;
180801;0000;1,31;;;
180901;0000;0,94;;;
181001;0000;0,644516;;;
181101;0000;0,527667;;;
181201;0000;0,484667;;;
190101;0000;0,547419;;;
190201;0000;0,43;;;
190301;0000;0,585161;;;
190401;0000;0,881481;;;
190501;0000;1,129;;;
190601;0000;1,45033;;;
190701;0000;1,75774;;;
190801;0000;1,0931;;;
190901;0000;0,510526;;;
191001;0000;0,818182;;;
191101;0000;0,406538;;;
191201;0000;0,415806;;;
200101;0000;0,44;;;
200201;0000;0,401786;;;
200301;0000;0,421935;;;
200401;0000;0,567333;;;
200501;0000;0,95871;;;
200601;0000;1,08967;;;
200701;0000;1,3529;;;
200801;0000;0,735806;;;
200901;0000;0,466667;;;
201001;0000;0,375806;;;
201101;0000;0,3;;;
201201;0000;0,323871;;;
210101;0000;0,475161;;;
210201;0000;0,520357;;;
210301;0000;0,571613;;;
210401;0000;0,774333;;;
210501;0000;1,40542;;;
210601;0000;1,36167;;;
210701;0000;1,8229;;;
210801;0000;0,841935;;;
210901;0000;0,428;;;
211001;0000;0,303846;;;
211101;0000;0,268667;;;
211201;0000;0,282258;;;
220101;0000;0,244516;;;
220201;0000;0,29;;;
220301;0000;0,424194;;;
220401;0000;0,782667;;;
220501;0000;1,18056;;;
220601;0000;;;;
220701;0000;;;;
220801;0000;1,10032;;;
220901;0000;0,832;;;
221001;0000;0,579333;;;
221101;0000;0,471333;;;
221201;0000;0,365;;;
230101;0000;0,369677;;;
230201;0000;0,566957;;;
230301;0000;0,56;;;
230401;0000;0,656667;;;
230501;0000;1,17452;;;
230601;0000;1,52759;;;
230701;0000;1,46645;;;
230801;0000;0,982778;;0,79;
230901;0000;;;0,729667;
231001;0000;;;;
